name		fast, 1.98, .0	typical, 1.80, 25.0	slow, 1.62, 125.0
S		N		N		N
# SPSRAM256X8 words=256 bits=8 mux=8 drive=12 pipeline=No frequency=1.000 ring width=4
geomx     	204.140   	204.140   	204.140   
geomy     	195.315   	195.315   	195.315   
ring_size 	9.200     	9.200     	9.200     
icc       	0.047     	0.040     	0.035     
icc_r     	0.045     	0.038     	0.033     
icc_w     	0.050     	0.043     	0.037     
icc_peak  	152.256   	97.871    	53.023    
icc_desel 	0.000     	0.000     	0.000     
icc_standby	0.000     	0.000     	0.000     
tcyc      	0.694     	0.971     	1.631     
ta        	0.683     	1.041     	1.723     
tas       	0.193     	0.265     	0.458     
tah       	0.067     	0.087     	0.126     
tcs       	0.241     	0.317     	0.499     
tch       	0.000     	0.000     	0.000     
tws       	0.240     	0.318     	0.481     
twh       	0.000     	0.000     	0.000     
tds       	0.118     	0.172     	0.323     
tdh       	0.000     	0.000     	0.000     
thz       	0.414     	0.564     	0.851     
tlz       	0.364     	0.493     	0.759     
tckh      	0.083     	0.108     	0.183     
tckl      	0.103     	0.154     	0.260     
tckr      	4.000     	4.000     	4.000     
load_q    	0.271     	0.358     	0.531     
icap_a    	0.053     	0.052     	0.052     
icap_d    	0.004     	0.004     	0.004     
icap_clk  	0.181     	0.165     	0.131     
icap_cen  	0.014     	0.014     	0.014     
icap_wen  	0.015     	0.015     	0.015     
icap_oen  	0.010     	0.010     	0.010     
ocap_q    	0.019     	0.019     	0.018     
pwn_ck    	10.000    	10.000    	10.000    
vn_ck     	0.822     	0.852     	0.834     
vn_pwr    	0.198     	0.180     	0.162     
vn_gnd    	0.198     	0.180     	0.162     
