name		fast, 1.32, -40.0	typical, 1.20, 25.0	slow, 1.08, 125.0
S		N		N		N
# SPSRAM256X8 words=256 bits=8 mux=8 drive=6 pipeline=No frequency=50.000 ring width=6
geomx     	154.460   	154.460   	154.460   
geomy     	144.010   	144.010   	144.010   
ring_size 	13.200    	13.200    	13.200    
icc       	0.935     	0.814     	0.704     
icc_r     	0.917     	0.797     	0.687     
icc_w     	0.952     	0.832     	0.720     
icc_peak  	101.766   	60.797    	30.377    
icc_desel 	0.275     	0.242     	0.224     
icc_standby	0.003     	0.003     	0.013     
tcyc      	0.607     	0.903     	1.462     
ta        	0.264     	0.861     	1.405     
tas       	0.206     	0.314     	0.520     
tah       	0.000     	0.000     	0.000     
tcs       	0.472     	0.701     	1.195     
tch       	0.000     	0.000     	0.000     
tws       	0.139     	0.197     	0.313     
twh       	0.000     	0.000     	0.000     
tds       	0.119     	0.191     	0.342     
tdh       	0.000     	0.000     	0.000     
tckh      	0.055     	0.083     	0.140     
tckl      	0.339     	0.525     	0.888     
tckr      	4.000     	4.000     	4.000     
load_q    	0.342     	0.475     	0.696     
icap_a    	0.022     	0.021     	0.020     
icap_d    	0.001     	0.001     	0.001     
icap_clk  	0.090     	0.086     	0.083     
icap_cen  	0.004     	0.004     	0.004     
icap_wen  	0.007     	0.007     	0.007     
pwn_ck    	10.000    	10.000    	10.000    
vn_ck     	0.450     	0.447     	0.430     
vn_pwr    	0.132     	0.120     	0.108     
vn_gnd    	0.132     	0.120     	0.108     
