#Release  - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Thu Jan 04 10:27:14 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       ADC0_map.ncd
#OUTPUT FILE:      ADC0_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -10
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A2,,,GND,,,,,,,,,,,,,
A3,,IOBM,IO_L2P_10,UNUSED,,10,,,,,,,,,,
A4,,IOBS,IO_L1N_10,UNUSED,,10,,,,,,,,,,
A5,,IOBM,IO_L1P_10,UNUSED,,10,,,,,,,,,,
A6,,IOBM,IO_L27P_6,UNUSED,,6,,,,,,,,,,
A7,,,VCCO_6,,,6,,,,,2.50,,,,,
A8,,IOBS,IO_L23N_VRP_6,UNUSED,,6,,,,,,,,,,
A9,,IOBM,IO_L23P_VRN_6,UNUSED,,6,,,,,,,,,,
A10,,IOBS,IO_L6N_6,UNUSED,,6,,,,,,,,,,
A11,,IOBM,IO_L6P_6,UNUSED,,6,,,,,,,,,,
A12,,,GND,,,,,,,,,,,,,
A13,,IOBS,IO_L1N_6,UNUSED,,6,,,,,,,,,,
A14,,IOBM,IO_L1P_6,UNUSED,,6,,,,,,,,,,
A15,,IOBS,IO_L13N_6,UNUSED,,6,,,,,,,,,,
A16,,LOWCAPIOB,IO_L8P_D17_CC_LC_1,UNUSED,,1,,,,,,,,,,
A17,,,VCCO_1,,,1,,,,,any******,,,,,
A18,,LOWCAPIOB,IO_L26P_LC_1,UNUSED,,1,,,,,,,,,,
A19,,,AVSS_ADC,,,,,,,,,,,,,
A20,,IPAD,VN_ADC,UNUSED,,,,,,,,,,,,
A21,,IPAD,VP_ADC,UNUSED,,,,,,,,,,,,
A22,,,GND,,,,,,,,,,,,,
A23,,LOWCAPIOB,IO_L29N_LC_1,UNUSED,,1,,,,,,,,,,
A24,,LOWCAPIOB,IO_L29P_LC_1,UNUSED,,1,,,,,,,,,,
A25,,LOWCAPIOB,IO_L39N_LC_1,UNUSED,,1,,,,,,,,,,
A26,,IOBS,IO_L1N_ADC7_5,UNUSED,,5,,,,,,,,,,
A27,,,VCCO_5,,,5,,,,,any******,,,,,
A28,,IOBM,IO_L7P_ADC2_5,UNUSED,,5,,,,,,,,,,
A29,,IOBS,IO_L7N_ADC2_5,UNUSED,,5,,,,,,,,,,
A30,,IOBM,IO_L4P_5,UNUSED,,5,,,,,,,,,,
A31,,IOBS,IO_L4N_VREF_5,UNUSED,,5,,,,,,,,,,
A32,,,GND,,,,,,,,,,,,,
A33,,IOBM,IO_L14P_5,UNUSED,,5,,,,,,,,,,
A34,,IOBS,IO_L14N_5,UNUSED,,5,,,,,,,,,,
A35,,IOBM,IO_L29P_5,UNUSED,,5,,,,,,,,,,
A36,,IOBS,IO_L29N_5,UNUSED,,5,,,,,,,,,,
A37,,,VCCO_5,,,5,,,,,any******,,,,,
A38,,,GND,,,,,,,,,,,,,
AA1,,LOWCAPIOB,IO_L8N_CC_LC_16,UNUSED,,16,,,,,,,,,,
AA2,,,GND,,,,,,,,,,,,,
