#Release  - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Mon Dec 18 09:50:04 2006

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       U60_map.ncd
#OUTPUT FILE:      U60_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -10
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A2,,,GND,,,,,,,,,,,,,
A3,,IOBM,IO_L2P_10,UNUSED,,10,,,,,,,,,,
A4,,IOBS,IO_L1N_10,UNUSED,,10,,,,,,,,,,
A5,,IOBM,IO_L1P_10,UNUSED,,10,,,,,,,,,,
A6,,IOBM,IO_L27P_6,UNUSED,,6,,,,,,,,,,
A7,,,VCCO_6,,,6,,,,,2.50,,,,,
A8,,IOBS,IO_L23N_VRP_6,UNUSED,,6,,,,,,,,,,
A9,,IOBM,IO_L23P_VRN_6,UNUSED,,6,,,,,,,,,,
A10,,IOBS,IO_L6N_6,UNUSED,,6,,,,,,,,,,
A11,,IOBM,IO_L6P_6,UNUSED,,6,,,,,,,,,,
A12,,,GND,,,,,,,,,,,,,
A13,,IOBS,IO_L1N_6,UNUSED,,6,,,,,,,,,,
A14,,IOBM,IO_L1P_6,UNUSED,,6,,,,,,,,,,
A15,,IOBS,IO_L13N_6,UNUSED,,6,,,,,,,,,,
A16,,LOWCAPIOB,IO_L8P_D17_CC_LC_1,UNUSED,,1,,,,,,,,,,
A17,,,VCCO_1,,,1,,,,,any******,,,,,
A18,,LOWCAPIOB,IO_L26P_LC_1,UNUSED,,1,,,,,,,,,,
A19,,,AVSS_ADC,,,,,,,,,,,,,
A20,,IPAD,VN_ADC,UNUSED,,,,,,,,,,,,
A21,,IPAD,VP_ADC,UNUSED,,,,,,,,,,,,
A22,,,GND,,,,,,,,,,,,,
A23,,LOWCAPIOB,IO_L29N_LC_1,UNUSED,,1,,,,,,,,,,
A24,,LOWCAPIOB,IO_L29P_LC_1,UNUSED,,1,,,,,,,,,,
A25,,LOWCAPIOB,IO_L39N_LC_1,UNUSED,,1,,,,,,,,,,
A26,FPGA_CON<1>,IOB,IO_L1N_ADC7_5,INPUT,LVCMOS25,5,,,,NONE,,LOCATED,,NO,NONE,
A27,,,VCCO_5,,,5,,,,,2.50,,,,,
A28,FPGA_CON<12>,IOB,IO_L7P_ADC2_5,INPUT,LVCMOS25,5,,,,NONE,,LOCATED,,NO,NONE,
A29,FPGA_CON<13>,IOB,IO_L7N_ADC2_5,INPUT,LVCMOS25,5,,,,NONE,,LOCATED,,NO,NONE,
A30,FPGA_CON<6>,IOB,IO_L4P_5,INPUT,LVCMOS25,5,,,,NONE,,LOCATED,,NO,NONE,
A31,FPGA_CON<7>,IOB,IO_L4N_VREF_5,INPUT,LVCMOS25,5,,,,NONE,,LOCATED,,NO,NONE,
A32,,,GND,,,,,,,,,,,,,
A33,FPGA_CON<42>,IOB,IO_L14P_5,INPUT,LVCMOS25,5,,,,NONE,,LOCATED,,NO,NONE,
A34,FPGA_CON<43>,IOB,IO_L14N_5,INPUT,LVCMOS25,5,,,,NONE,,LOCATED,,NO,NONE,
