name		fast@-40C, 1.32, -40.0	typical, 1.20, 25.0	slow, 1.08, 125.0	fast@0C, 1.32, .0
S		N		N		N		N
# RA2SH128x36 words=128 bits=36 mux=4 drive=6 pipeline=No frequency=100.000 ring width=4
geomx     	491.190   	491.190   	491.190   	491.190   
geomy     	157.675   	157.675   	157.675   	157.675   
ring_size 	9.200     	9.200     	9.200     	9.200     
icc       	5.282     	4.663     	4.159     	5.408     
icc_r     	4.225     	3.752     	3.296     	4.337     
icc_w     	6.339     	5.574     	5.021     	6.478     
icc_peak  	174.389   	109.135   	57.233    	164.640   
icc_desel 	0.958     	0.815     	0.819     	1.010     
icc_standby	0.008     	0.023     	0.131     	0.048     
tcyc      	0.614     	0.944     	1.581     	0.649     
ta        	0.641     	1.045     	1.686     	0.675     
tas       	0.161     	0.276     	0.521     	0.177     
tah       	0.000     	0.000     	0.000     	0.000     
tcs       	0.262     	0.390     	0.624     	0.279     
tch       	0.000     	0.000     	0.000     	0.000     
tws       	0.323     	0.479     	0.710     	0.329     
twh       	0.000     	0.000     	0.000     	0.000     
tds       	0.154     	0.259     	0.412     	0.153     
tdh       	0.000     	0.000     	0.000     	0.000     
tckh      	0.041     	0.062     	0.104     	0.044     
tckl      	0.108     	0.171     	0.284     	0.115     
tcc       	0.406     	0.612     	1.001     	0.427     
tckr      	4.000     	4.000     	4.000     	4.000     
load_q    	0.547     	0.757     	1.131     	0.559     
icap_a    	0.019     	0.018     	0.017     	0.019     
icap_d    	0.002     	0.002     	0.001     	0.002     
icap_clk  	0.180     	0.171     	0.164     	0.182     
icap_cen  	0.012     	0.011     	0.011     	0.012     
icap_wen  	0.011     	0.011     	0.011     	0.011     
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.615     	0.593     	0.551     	0.596     
vn_pwr    	0.132     	0.120     	0.108     	0.132     
vn_gnd    	0.132     	0.120     	0.108     	0.132     
