name		fast@-40C, 1.32, -40.0	fast@0C, 1.32, .0	typical, 1.20, 25.0	slow, 1.08, 125.0
S		N		N		N		N
# RA1SH512x32 words=512 bits=32 mux=8 drive=6 pipeline=No frequency=100.000 ring width=4
geomx     	410.685   	410.685   	410.685   	410.685   
geomy     	183.795   	183.795   	183.795   	183.795   
ring_size 	9.200     	9.200     	9.200     	9.200     
icc       	4.785     	4.892     	4.073     	3.436     
icc_r     	4.313     	4.432     	3.658     	3.042     
icc_w     	5.257     	5.353     	4.488     	3.830     
icc_peak  	169.460   	152.304   	100.590   	57.418    
icc_desel 	0.910     	0.944     	0.773     	0.699     
icc_standby	0.004     	0.018     	0.006     	0.034     
tcyc      	0.905     	0.967     	1.398     	2.270     
ta        	0.776     	0.825     	1.354     	2.270     
tas       	0.176     	0.191     	0.296     	0.492     
tah       	0.000     	0.000     	0.000     	0.000     
tcs       	0.268     	0.285     	0.402     	0.648     
tch       	0.000     	0.000     	0.000     	0.000     
tws       	0.285     	0.292     	0.415     	0.648     
twh       	0.000     	0.000     	0.000     	0.000     
tds       	0.130     	0.134     	0.219     	0.360     
tdh       	0.000     	0.000     	0.000     	0.000     
tckh      	0.037     	0.042     	0.058     	0.097     
tckl      	0.106     	0.112     	0.170     	0.289     
tckr      	4.000     	4.000     	4.000     	4.000     
load_q    	0.520     	0.538     	0.713     	1.059     
icap_a    	0.019     	0.019     	0.018     	0.017     
icap_d    	0.002     	0.002     	0.002     	0.001     
icap_clk  	0.171     	0.176     	0.156     	0.151     
icap_cen  	0.007     	0.007     	0.007     	0.006     
icap_wen  	0.007     	0.007     	0.007     	0.007     
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.614     	0.595     	0.624     	0.585     
vn_pwr    	0.132     	0.132     	0.120     	0.108     
vn_gnd    	0.132     	0.132     	0.120     	0.108     
