name		fast, 1.32, -40.0	typical, 1.20, 25.0	slow, 1.08, 125.0
S		N		N		N
# RA1SH512x32_on words=512 bits=32 mux=8 drive=6 pipeline=No frequency=100.000 ring width=4
geomx     	437.830   	437.830   	437.830   
geomy     	207.530   	207.530   	207.530   
ring_size 	9.200     	9.200     	9.200     
icc       	4.781     	4.130     	3.448     
icc_r     	4.510     	3.904     	3.239     
icc_w     	5.051     	4.356     	3.658     
icc_peak  	202.838   	110.637   	58.065    
icc_desel 	0.863     	0.752     	0.693     
icc_standby	0.007     	0.008     	0.039     
tcyc      	0.667     	1.006     	1.628     
ta        	0.278     	0.962     	1.570     
tas       	0.213     	0.327     	0.541     
tah       	0.000     	0.000     	0.000     
tcs       	0.472     	0.701     	1.196     
tch       	0.000     	0.000     	0.000     
tws       	0.145     	0.205     	0.322     
twh       	0.000     	0.000     	0.000     
tds       	0.105     	0.169     	0.308     
tdh       	0.000     	0.000     	0.000     
tckh      	0.055     	0.083     	0.140     
tckl      	0.339     	0.525     	0.888     
tckr      	4.000     	4.000     	4.000     
load_q    	0.342     	0.475     	0.696     
icap_a    	0.022     	0.021     	0.020     
icap_d    	0.001     	0.001     	0.001     
icap_clk  	0.090     	0.086     	0.083     
icap_cen  	0.004     	0.004     	0.004     
icap_wen  	0.059     	0.056     	0.054     
pwn_ck    	10.000    	10.000    	10.000    
vn_ck     	0.450     	0.447     	0.430     
vn_pwr    	0.132     	0.120     	0.108     
vn_gnd    	0.132     	0.120     	0.108     
