name		fast@-40C, 1.32, -40.0	fast@0C, 1.32, .0	typical, 1.20, 25.0	slow, 1.08, 125.0
S		N		N		N		N
# RF1SH32x128_on words=32 bits=128 mux=1 drive=4 pipeline=No frequency=100.000 ring width=2
geomx     	212.415   	212.415   	212.415   	212.415   
geomy     	138.610   	138.610   	138.610   	138.610   
ring_size 	5.200     	5.200     	5.200     	5.200     
icc       	3.502     	3.558     	2.952     	2.483     
icc_r     	3.260     	3.306     	2.741     	2.295     
icc_w     	3.744     	3.809     	3.163     	2.671     
icc_peak  	118.003   	112.743   	72.602    	41.320    
icc_desel 	0.442     	0.446     	0.362     	0.310     
icc_standby	0.009     	0.021     	0.010     	0.025     
tcyc      	1.088     	1.155     	1.578     	2.469     
ta        	0.810     	0.845     	1.248     	1.932     
tas       	0.077     	0.088     	0.145     	0.298     
tah       	0.000     	0.000     	0.000     	0.000     
tcs       	0.159     	0.172     	0.240     	0.392     
tch       	0.000     	0.000     	0.000     	0.000     
tws       	0.177     	0.183     	0.191     	0.315     
twh       	0.004     	0.001     	0.006     	0.002     
tds       	0.075     	0.081     	0.074     	0.173     
tdh       	0.058     	0.055     	0.063     	0.053     
tckh      	0.041     	0.044     	0.060     	0.094     
tckl      	0.130     	0.144     	0.228     	0.406     
tckr      	4.000     	4.000     	4.000     	4.000     
load_q    	0.855     	0.882     	1.234     	1.879     
icap_a    	0.007     	0.007     	0.006     	0.006     
icap_d    	0.002     	0.002     	0.002     	0.002     
icap_clk  	0.053     	0.053     	0.051     	0.048     
icap_cen  	0.003     	0.003     	0.003     	0.003     
icap_wen  	0.065     	0.065     	0.066     	0.064     
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.465     	0.449     	0.456     	0.435     
vn_pwr    	0.132     	0.132     	0.120     	0.108     
vn_gnd    	0.132     	0.132     	0.120     	0.108     
