name		fast@-40C, 1.32, -40.0	fast@0C, 1.32, .0	typical, 1.20, 25.0	slow, 1.08, 125.0
S		N		N		N		N
# RF1SH64x22 words=64 bits=22 mux=2 drive=4 pipeline=No frequency=100.000 ring width=2
geomx     	96.455    	96.455    	96.455    	96.455    
geomy     	127.605   	127.605   	127.605   	127.605   
ring_size 	5.200     	5.200     	5.200     	5.200     
icc       	1.101     	1.113     	0.944     	0.802     
icc_r     	1.085     	1.095     	0.928     	0.784     
icc_w     	1.118     	1.132     	0.960     	0.819     
icc_peak  	39.996    	39.633    	24.815    	14.062    
icc_desel 	0.113     	0.119     	0.099     	0.087     
icc_standby	0.001     	0.004     	0.001     	0.005     
tcyc      	0.910     	0.953     	1.343     	2.139     
ta        	0.709     	0.741     	1.092     	1.703     
tas       	0.109     	0.119     	0.179     	0.325     
tah       	0.000     	0.000     	0.000     	0.000     
tcs       	0.164     	0.175     	0.252     	0.410     
tch       	0.000     	0.000     	0.000     	0.000     
tws       	0.232     	0.238     	0.308     	0.458     
twh       	0.000     	0.000     	0.000     	0.000     
tds       	0.135     	0.142     	0.191     	0.315     
tdh       	0.004     	0.002     	0.000     	0.000     
tckh      	0.046     	0.048     	0.065     	0.102     
tckl      	0.117     	0.130     	0.204     	0.370     
tckr      	4.000     	4.000     	4.000     	4.000     
load_q    	0.857     	0.882     	1.230     	1.885     
icap_a    	0.007     	0.007     	0.008     	0.008     
icap_d    	0.002     	0.002     	0.002     	0.002     
icap_clk  	0.061     	0.061     	0.061     	0.058     
icap_cen  	0.003     	0.003     	0.004     	0.004     
icap_wen  	0.008     	0.008     	0.008     	0.008     
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.508     	0.496     	0.494     	0.472     
vn_pwr    	0.132     	0.132     	0.120     	0.108     
vn_gnd    	0.132     	0.132     	0.120     	0.108     
