name		fast, 1.98, .0	typical, 1.80, 25.0	slow, 1.62, 125.0
S		N		N		N
# RA1SH6144x32_8 words=6144 bits=32 mux=16 drive=12 pipeline=No frequency=100.000 ring width=9
geomx     	1080.060  	1080.060  	1080.060  
geomy     	1085.875  	1085.875  	1085.875  
ring_size 	19.200    	19.200    	19.200    
icc       	16.793    	14.393    	12.505    
icc_r     	14.765    	12.584    	10.902    
icc_w     	18.822    	16.201    	14.109    
icc_peak  	414.345   	282.395   	157.140   
icc_desel 	0.000     	0.000     	0.000     
icc_standby	0.000     	0.000     	0.000     
tcyc      	0.954     	1.360     	2.262     
ta        	0.930     	1.414     	2.320     
tas       	0.228     	0.334     	0.580     
tah       	0.057     	0.074     	0.100     
tcs       	0.272     	0.357     	0.560     
tch       	0.000     	0.000     	0.000     
tws       	0.187     	0.242     	0.402     
twh       	0.000     	0.000     	0.000     
tds       	0.128     	0.199     	0.384     
tdh       	0.000     	0.000     	0.000     
thz       	0.458     	0.618     	0.957     
tlz       	0.408     	0.551     	0.851     
tckh      	0.083     	0.108     	0.183     
tckl      	0.112     	0.167     	0.281     
tckr      	4.000     	4.000     	4.000     
load_q    	0.271     	0.358     	0.531     
icap_a    	0.053     	0.052     	0.052     
icap_d    	0.004     	0.004     	0.004     
icap_clk  	0.264     	0.257     	0.229     
icap_cen  	0.014     	0.014     	0.014     
icap_wen  	0.120     	0.117     	0.117     
icap_oen  	0.010     	0.010     	0.010     
ocap_q    	0.019     	0.019     	0.018     
pwn_ck    	10.000    	10.000    	10.000    
vn_ck     	0.822     	0.852     	0.834     
vn_pwr    	0.198     	0.180     	0.162     
vn_gnd    	0.198     	0.180     	0.162     
