Release 7.1i - par H.38
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Wed Dec 13 14:31:47 2006

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       SEIP_map.ncd
#OUTPUT FILE:      SEIP_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -11
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A2,,,GND,,,,,,,,,,,,,
A3,,IOBM,IO_L2P_10,UNUSED,,10,,,,,,,,,,
A4,,IOBS,IO_L1N_10,UNUSED,,10,,,,,,,,,,
A5,,IOBM,IO_L1P_10,UNUSED,,10,,,,,,,,,,
A6,,IOBM,IO_L27P_6,UNUSED,,6,,,,,,,,,,
A7,,,VCCO_6,,,6,,,,,2.50,,,,,
A8,,IOBS,IO_L23N_VRP_6,UNUSED,,6,,,,,,,,,,
A9,,IOBM,IO_L23P_VRN_6,UNUSED,,6,,,,,,,,,,
A10,,IOBS,IO_L6N_6,UNUSED,,6,,,,,,,,,,
A11,,IOBM,IO_L6P_6,UNUSED,,6,,,,,,,,,,
A12,,,GND,,,,,,,,,,,,,
A13,,IOBS,IO_L1N_6,UNUSED,,6,,,,,,,,,,
A14,,IOBM,IO_L1P_6,UNUSED,,6,,,,,,,,,,
A15,,IOBS,IO_L13N_6,UNUSED,,6,,,,,,,,,,
A16,TROMO<3>,IOB,IO_L8P_D17_CC_LC_1,INPUT,LVCMOS25,1,,,,NONE,,,,NO,NONE,
A17,,,VCCO_1,,,1,,,,,2.50,,,,,
A18,TIMI<11>,IOB,IO_L26P_LC_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
A19,,,AVSS_ADC,,,,,,,,,,,,,
A20,,IPAD,VN_ADC,UNUSED,,,,,,,,,,,,
A21,,IPAD,VP_ADC,UNUSED,,,,,,,,,,,,
A22,,,GND,,,,,,,,,,,,,
A23,TIMI<3>,IOB,IO_L29N_LC_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
A24,TIMI<15>,IOB,IO_L29P_LC_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
A25,TIMO<10>,IOB,IO_L39N_LC_1,INPUT,LVCMOS25,1,,,,NONE,,,,NO,NONE,
A26,,IOBS,IO_L1N_ADC7_5,UNUSED,,5,,,,,,,,,,
A27,,,VCCO_5,,,5,,,,,2.50,,,,,
A28,,IOBM,IO_L7P_ADC2_5,UNUSED,,5,,,,,,,,,,
A29,,IOBS,IO_L7N_ADC2_5,UNUSED,,5,,,,,,,,,,
A30,,IOBM,IO_L4P_5,UNUSED,,5,,,,,,,,,,
A31,,IOBS,IO_L4N_VREF_5,UNUSED,,5,,,,,,,,,,
A32,,,GND,,,,,,,,,,,,,
A33,,IOBM,IO_L14P_5,UNUSED,,5,,,,,,,,,,
A34,,IOBS,IO_L14N_5,UNUSED,,5,,,,,,,,,,
A35,,IOBM,IO_L29P_5,UNUSED,,5,,,,,,,,,,
A36,,IOBS,IO_L29N_5,UNUSED,,5,,,,,,,,,,
A37,,,VCCO_5,,,5,,,,,2.50,,,,,
A38,,,GND,,,,,,,,,,,,,
AA1,EEMA<15>,IOB,IO_L8N_CC_LC_16,OUTPUT,LVCMOS25,16,12,SLOW,NONE**,,,,,NO,NONE,
AA2,,,GND,,,,,,,,,,,,,
AA3,EEMDO<15>,IOB,IO_L7P_16,INPUT,LVCMOS25,16,,,,NONE,,,,NO,NONE,
AA4,EIMDI<13>,IOB,IO_L5N_16,OUTPUT,LVCMOS25,16,12,SLOW,NONE**,,,,,NO,NONE,
AA5,TI4,IOB,IO_L10N_16,INPUT,LVCMOS25,16,,,,NONE,,,,NO,NONE,
AA6,TI0,IOB,IO_L10P_16,INPUT,LVCMOS25,16,,,,NONE,,,,NO,NONE,
AA7,,,VCCO_16,,,16,,,,,2.50,,,,,
AA8,PRDY,IOB,IO_L14N_16,OUTPUT,LVCMOS25,16,12,SLOW,NONE**,,,,,NO,NONE,
AA9,,,VCCINT,,,,,,,,1.5,,,,,
AA10,EIMDI<1>,IOB,IO_L30P_14,OUTPUT,LVCMOS25,14,12,SLOW,NONE**,,,,,NO,NONE,
AA11,EEMDO<2>,IOB,IO_L31P_14,INPUT,LVCMOS25,14,,,,NONE,,,,NO,NONE,
AA12,,,GND,,,,,,,,,,,,,
AA13,PIDI<2>,IOB,IO_L9N_CC_LC_16,INPUT,LVCMOS25,16,,,,NONE,,,,NO,NONE,
AA14,EEMA<12>,IOB,IO_L9P_CC_LC_16,OUTPUT,LVCMOS25,16,12,SLOW,NONE**,,,,,NO,NONE,
AA15,,,VCCINT,,,,,,,,1.5,,,,,
AA16,,,TMS_0,,,,,,,,,,,,,
AA17,,,VCCO_0,,,0,,,,,any******,,,,,
