Release 7.1.04i - par H.42
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

Wed Jul 04 00:51:38 2007


INPUT FILE:       FPGA1_map.ncd
OUTPUT FILE:      FPGA1_pad.txt
PART TYPE:        xc4vlx200
SPEED GRADE:      -10
PACKAGE:          ff1513

Pinout by Pin Number:

+----------+---------------------+---------+--------------------+---------+-----------+--------------+----------+---------+-----------+---------+---------+----------+---------+-----------+----------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
+----------+---------------------+---------+--------------------+---------+-----------+--------------+----------+---------+-----------+---------+---------+----------+---------+-----------+----------------+
|A2        |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|A3        |                     |IOBM     |IO_L2P_10           |UNUSED   |           |10            |          |         |           |         |         |          |         |           |                |
|A4        |                     |IOBS     |IO_L1N_10           |UNUSED   |           |10            |          |         |           |         |         |          |         |           |                |
|A5        |                     |IOBM     |IO_L1P_10           |UNUSED   |           |10            |          |         |           |         |         |          |         |           |                |
|A6        |                     |IOBM     |IO_L27P_6           |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
|A7        |                     |         |VCCO_6              |         |           |6             |          |         |           |         |2.50     |          |         |           |                |
|A8        |                     |IOBS     |IO_L23N_VRP_6       |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
|A9        |                     |IOBM     |IO_L23P_VRN_6       |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
|A10       |                     |IOBS     |IO_L6N_6            |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
|A11       |                     |IOBM     |IO_L6P_6            |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
|A12       |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|A13       |                     |IOBS     |IO_L1N_6            |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
